source,method,k,kendall_tau_context_mean,kendall_tau_pair_weighted,jaccard_context_mean,jaccard_micro,intersection,union
sgfn,linear__identity,100,1.0,1.0,1.0,1.0,54800,54800
sgfn,linear__power_0p5,5,0.9482062301589518,0.9476250201559141,0.9993917274939174,0.9992703392922291,2739,2741
sgfn,linear__power_0p5,10,0.9482062301589518,0.9476250201559141,0.9983410749834106,0.9981768459434822,5475,5485
sgfn,linear__power_0p5,20,0.9482062301589518,0.9476250201559141,0.9942964578001076,0.9939961793868826,10927,10993
sgfn,linear__power_0p5,50,0.9482062301589518,0.9476250201559141,0.9859224068233522,0.9855791876517265,27201,27599
sgfn,linear__power_0p5,100,0.9482062301589518,0.9476250201559141,0.971002744546971,0.9707267954112274,53986,55614
sgfn,linear__power_2,5,0.9515742203855139,0.9507192030242829,1.0,1.0,2740,2740
sgfn,linear__power_2,10,0.9515742203855139,0.9507192030242829,0.998064587480646,0.997812613926358,5474,5486
sgfn,linear__power_2,20,0.9515742203855139,0.9507192030242829,0.996539956393971,0.9963570127504554,10940,10980
sgfn,linear__power_2,50,0.9515742203855139,0.9507192030242829,0.9880538157959029,0.987811955890888,27232,27568
sgfn,linear__power_2,100,0.9515742203855139,0.9507192030242829,0.9733502501061679,0.973068337293872,54052,55548
sgfn,linear__power_4,5,0.9170891516793418,0.9154903614288077,1.0,1.0,2740,2740
sgfn,linear__power_4,10,0.9170891516793418,0.9154903614288077,0.997732802477328,0.9974485146710407,5473,5487
sgfn,linear__power_4,20,0.9170891516793418,0.9154903614288077,0.9945413467311278,0.9941775836972343,10928,10992
sgfn,linear__power_4,50,0.9170891516793418,0.9154903614288077,0.9779210992137426,0.9774113232057158,27087,27713
sgfn,linear__power_4,100,0.9170891516793418,0.9154903614288077,0.9537756835908155,0.9531667676515665,53486,56114
sgfn,linear__temperature_0p5,5,0.9342807162861025,0.934164044006079,1.0,1.0,2740,2740
sgfn,linear__temperature_0p5,10,0.9342807162861025,0.934164044006079,0.998064587480646,0.997812613926358,5474,5486
sgfn,linear__temperature_0p5,20,0.9342807162861025,0.934164044006079,0.996539956393971,0.9963570127504554,10940,10980
sgfn,linear__temperature_0p5,50,0.9342807162861025,0.934164044006079,0.9874788563885306,0.9871632157232476,27223,27577
sgfn,linear__temperature_0p5,100,0.9342807162861025,0.934164044006079,0.9720677688333418,0.971754969865971,54015,55585
sgfn,linear__temperature_2,5,0.8995680388801944,0.8994071595546512,0.9987834549878346,0.9985412107950401,2738,2742
sgfn,linear__temperature_2,10,0.8995680388801944,0.8994071595546512,0.9983410749834106,0.9981768459434822,5475,5485
sgfn,linear__temperature_2,20,0.8995680388801944,0.8994071595546512,0.9922583499225834,0.991821899136756,10915,11005
sgfn,linear__temperature_2,50,0.8995680388801944,0.8994071595546512,0.9840250892881257,0.9835668005936222,27173,27627
sgfn,linear__temperature_2,100,0.8995680388801944,0.8994071595546512,0.9669949599941184,0.9665189385103978,53867,55733
sgfn,linear__context_family_percentile,5,0.8833994696201386,0.8832311143650483,0.9930483142161973,0.9912790697674418,2728,2752
sgfn,linear__context_family_percentile,10,0.8833994696201386,0.8832311143650483,0.9716323822163239,0.9687443865636788,5393,5567
