source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
open3dsg,mlp__temperature_2,20,0.2474823766364552,0.048590130916414925,0.03932686300257767,0.05832352653886336,0.04549718574108818,-0.16444652908067542,-0.17521845139953526,-0.15345487827045204,0.06605829474257695,0.3112570356472795,1.0,0.6887429643527204,10660
open3dsg,mlp__temperature_2,50,0.4687814702920443,0.06445115810674723,0.05138007945206671,0.07748178810790801,0.041034689893377385,-0.09768734044150773,-0.10337482274914432,-0.09163372536146086,0.06698535269963841,0.38740801922210544,1.0,0.6125919807778946,26636
open3dsg,mlp__temperature_2,100,0.6029707955689829,0.09189325276938576,0.0764273096484347,0.10607653953218696,0.036719286204529855,-0.08743231907267597,-0.09170946876283656,-0.08280756922376974,0.06398671096345515,0.42614199649203083,1.0,0.5738580035079692,52452
open3dsg,linear__context_family_percentile,5,0.03700906344410876,0.0027693856998992905,0.001051739127915522,0.00465405097178865,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.013304949441192123,0.2949343339587242,1.0,0.7050656660412759,2665
open3dsg,linear__context_family_percentile,10,0.1107754279959718,0.012084592145015102,0.008361582892595757,0.015924729957908362,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.034047226798462386,0.3166979362101313,1.0,0.6833020637898687,5330
open3dsg,linear__context_family_percentile,20,0.23162134944612287,0.03272910372608259,0.02594965907973256,0.039078986354524385,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.04570959354044067,0.31454033771106943,1.0,0.6854596622889306,10660
open3dsg,linear__context_family_percentile,50,0.43227593152064453,0.02794561933534745,0.021803983329853914,0.0334028782613007,0.03468989337738399,-0.10403213695750113,-0.11026850585049894,-0.09793622702858869,0.05702999629675349,0.391725484306953,1.0,0.608274515693047,26636
open3dsg,linear__context_family_percentile,100,0.5382678751258811,0.027190332326283984,0.020257164636931505,0.03411622970487666,0.034336154960726,-0.08981545031647983,-0.09434874908146765,-0.08502669771644575,0.06057650264034173,0.4331769999237398,1.0,0.5668230000762602,52452
open3dsg,linear__power_2,5,0.03726082578046324,0.003021148036253772,0.0012200612638922086,0.004924550582948488,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.012177301509985387,0.22964352720450282,1.0,0.7703564727954972,2665
open3dsg,linear__power_2,10,0.11278952668680765,0.014098690835850955,0.009822697717003469,0.018834783904490664,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.031967001804588814,0.2722326454033771,1.0,0.7277673545966229,5330
open3dsg,linear__power_2,20,0.23564954682779457,0.0367573011077543,0.028970866208375277,0.044289337338906304,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.04390115667718191,0.28630393996247655,1.0,0.7136960600375235,10660
