source,method,k,violation_all,violation_decidable,uncertainty_rate,pessimistic_violation,decidable_coverage,status_coverage,selected,satisfied,uncertain,violated,other
sgfn,all_family_product,100,0.03713503649635037,0.05625742957454455,0.3399087591240876,0.37704379562043794,0.6600912408759124,1.0,54800,34138,18627,2035,0
sgfn,rank_average_all_families,5,0.025182481751824817,0.03153564899451554,0.20145985401459854,0.22664233576642337,0.7985401459854015,1.0,2740,2119,552,69,0
sgfn,rank_average_all_families,10,0.022992700729927006,0.02826379542395693,0.1864963503649635,0.20948905109489052,0.8135036496350365,1.0,5480,4332,1022,126,0
sgfn,rank_average_all_families,20,0.020894160583941605,0.02525363917071019,0.17262773722627736,0.19352189781021897,0.8273722627737227,1.0,10960,8839,1892,229,0
sgfn,rank_average_all_families,50,0.02094890510948905,0.02625560332997896,0.2021167883211679,0.22306569343065694,0.7978832116788321,1.0,27400,21288,5538,574,0
sgfn,rank_average_all_families,100,0.026916058394160582,0.03758632112733481,0.2838868613138686,0.3108029197080292,0.7161131386861314,1.0,54800,37768,15557,1475,0
sgfn,rrf_all_families,5,0.025547445255474453,0.0330188679245283,0.22627737226277372,0.2518248175182482,0.7737226277372263,1.0,2740,2050,620,70,0
sgfn,rrf_all_families,10,0.02408759124087591,0.030662020905923345,0.21441605839416059,0.2385036496350365,0.7855839416058394,1.0,5480,4173,1175,132,0
sgfn,rrf_all_families,20,0.02281021897810219,0.029202196005139586,0.2188868613138686,0.2416970802919708,0.7811131386861314,1.0,10960,8311,2399,250,0
sgfn,rrf_all_families,50,0.021021897810218976,0.02827410170822698,0.2564963503649635,0.2775182481751825,0.7435036496350365,1.0,27400,19796,7028,576,0
sgfn,rrf_all_families,100,0.02667883211678832,0.0369901831798401,0.27875912408759124,0.3054379562043796,0.7212408759124087,1.0,54800,38062,15276,1462,0
sgfn,pooled_product,5,0.023722627737226276,0.033299180327868855,0.2875912408759124,0.3113138686131387,0.7124087591240876,1.0,2740,1887,788,65,0
sgfn,pooled_product,10,0.032481751824817516,0.04778523489932886,0.32025547445255476,0.35273722627737225,0.6797445255474452,1.0,5480,3547,1755,178,0
sgfn,pooled_product,20,0.027828467153284672,0.042232068679036276,0.3410583941605839,0.3688868613138686,0.6589416058394161,1.0,10960,6917,3738,305,0
sgfn,pooled_product,50,0.02916058394160584,0.04303102111158983,0.32233576642335765,0.3514963503649635,0.6776642335766423,1.0,27400,17769,8832,799,0
sgfn,pooled_product,100,0.04636861313868613,0.06980002197560707,0.3356934306569343,0.3820620437956204,0.6643065693430656,1.0,54800,33863,18396,2541,0
sgfn,hard_rule_filter,5,0.0,0.0,0.3,0.3,0.7,1.0,2740,1918,822,0,0
sgfn,hard_rule_filter,10,0.0,0.0,0.36259124087591244,0.36259124087591244,0.6374087591240876,1.0,5480,3493,1987,0,0
sgfn,hard_rule_filter,20,0.0,0.0,0.3918795620437956,0.3918795620437956,0.6081204379562044,1.0,10960,6665,4295,0,0
sgfn,hard_rule_filter,50,0.0,0.0,0.3806934306569343,0.3806934306569343,0.6193065693430657,1.0,27400,16969,10431,0,0
sgfn,hard_rule_filter,100,0.0,0.0,0.40424599769993247,0.40424599769993247,0.5957540023000676,1.0,54781,32636,22145,0,0
sgfn,family_product_continuity,5,0.024817518248175182,0.034782608695652174,0.2864963503649635,0.3113138686131387,0.7135036496350365,1.0,2740,1887,785,68,0
sgfn,family_product_continuity,10,0.032116788321167884,0.047943339689457916,0.3301094890510949,0.36222627737226276,0.6698905109489051,1.0,5480,3495,1809,176,0
